post,roast,process,bid,title,ratio,bloomRatio,bloomDuration,bloomTemperature,ssPulsesNumber,ssPulsesInterval,ssPulseTemperatures,batchPulsesNumber,batchPulsesInterval,batchPulseTemperatures
/blogs/brew-talks/fellows-take-on-olympia-coffee-northwesterly-dark-roast-brew-recipe,dark,,Qnca,"Olympia, Northwesterly Dark Roast",16,2,25,90.5,3,25,"[96, 96, 96]",1,25,[96]
/blogs/brew-talks/fellows-take-on-onyx-coffee-lab-burundi-long-miles-munyinya-hill-brew-recipe,,,XnMQ,"Onyx Coffee Lab, Burundi Long Miles Munyinya Hill",15,3,35,96,4,23,"[93, 92, 91, 90]",2,45,"[93, 93]"
/blogs/brew-talks/fellows-take-on-onyx-monarch-brew-guide,,,5VPP,"Onyx, Monarch",16,3,30,93,3,23,"[93, 89, 89]",1,30,[93]
/blogs/brew-talks/fellows-take-on-panama-gissell-garrido-by-bean-bean-coffee-brew-recipe,,washed,fQqD,"Bean & Bean, Gissell Garrido Red Catuai",15.5,2,30,96,3,23,"[91, 91, 91]",4,30,"[91, 91, 91, 91]"
/blogs/brew-talks/fellows-take-on-passenger-colombia-divino-nino-brew-guide,,,bbY9,"Passenger, Colombia Divino Niño",16,2.5,40,96,3,20,"[96, 94, 93]",3,25,"[96, 94, 93]"
/blogs/brew-talks/fellows-take-on-pb-j-by-brandywine-and-black-white-brew-recipe,,natural,W1S1,"Black & White x Brandywine, PB&J",15,3,35,93,3,23,"[90, 88, 86]",4,30,"[90, 88, 86, 85]"
/blogs/brew-talks/fellows-take-on-peru-el-espiritu-by-olympia-coffee-brew-recipe,medium,,FsJr,"Olympia, Peru Espiritu Wari",16,2,30,96,3,23,"[96, 96, 96]",4,30,"[96, 96, 96, 96]"
/blogs/brew-talks/fellows-take-on-peru-el-morito-by-kiss-the-hippo-brew-guide,,,WkLL,"Kiss the Hippo, Peru El Morito",15.5,2,35,96,4,23,"[96, 95, 95, 94]",4,30,"[96, 96, 95, 94]"
/blogs/brew-talks/fellows-take-on-peru-san-fernando-brew-recipe,,,dRw6,Wonderstate Coffee - Peru San Fernando ,16.5,3,40,95,4,10,"[95, 94.44, 93.88, 93.33]",6,12,"[95, 94.44, 93.88, 93.33, 92.77, 92.22]"
/blogs/brew-talks/fellows-take-on-peru-umapata-community-by-camellia-coffee-roasters-brew-recipe,medium,washed,kNzS,"Camellia, Peru Umapata Community",16,2,30,96,3,23,"[96, 96, 96]",3,30,"[96, 96, 96]"
/blogs/brew-talks/fellows-take-on-plush-plum-colombia-by-stone-creek-coffee-brew-recipe,light,washed,TvzY,"Stone Creek Coffee, Plush Plum Colombia",17,3,45,99,3,23,"[99, 99, 99]",3,30,"[99, 99, 99]"
/blogs/brew-talks/fellows-take-on-portrait-x-outkast-stankonia-brew-recipe,,,YrR0,"Portrait x OutKast, Stankonia",16,2,35,96,3,23,"[96, 96, 96]",3,30,"[96, 96, 96]"
/blogs/brew-talks/fellows-take-on-proud-mary-honeysuckle-brew-recipe,,natural,zNMK,"Proud Mary, Honeysuckle",16,3,45,98,3,23,"[98, 97, 96]",4,30,"[98, 97, 96, 95]"
